"","objid","ra","dec","u","g","r","i","z","run","rerun","camcol","field","specobjid","class","redshift","plate","mjd","fiberid"
"8840",1237648720701554944,197.544787964201,-0.502017672638621,25.09738,21.07216,19.70382,18.88734,18.50387,756,301,2,546,4562162459398348800,"QSO",4.483582,4052,55600,58
"8841",1237648720701292800,197.006367168133,-0.500988073202399,21.55037,21.0921,21.02922,20.98525,20.60953,756,301,2,542,4561289992509300736,"QSO",2.213792,4051,55337,980
"8842",1237648720701227776,196.858579904827,-0.581301576598321,24.54474,21.39511,20.88372,20.82194,20.70588,756,301,2,541,4562206439678910464,"QSO",2.889842,4052,55589,218
"8843",1237648720701161984,196.725551235602,-0.477803394893628,21.54159,20.88965,20.81975,20.80652,20.48066,756,301,2,540,4561278997393022976,"QSO",2.524766,4051,55337,940
"8844",1237648720701030656,196.436752817577,-0.58929734458403,21.72927,21.26951,21.14539,21.18515,20.57066,756,301,2,538,4561267452520931328,"QSO",2.401977,4051,55337,898
"8845",1237648720700899840,196.078154640211,-0.463471655865869,23.24965,21.87305,20.2551,19.21714,18.84743,756,301,2,536,4561234192294191104,"QSO",0.476474,4051,55337,777
"8846",1237648720700899584,196.056526847041,-0.583936935519407,24.63815,21.56424,21.50646,21.29116,20.77363,756,301,2,536,4561086582858162176,"QSO",1.040563,4051,55337,240
"8847",1237648720700899584,196.11625689645,-0.585170436973744,19.42839,19.05911,18.87273,18.82929,18.64841,756,301,2,536,331088548088276992,"QSO",0.8711659,294,51986,269
"8848",1237648720700768768,195.802121968559,-0.426525322576244,24.13423,20.98271,20.77275,20.64743,20.52253,756,301,2,534,4562261965016113152,"QSO",3.123682,4052,55589,420
"8849",1237648720700768512,195.743680591334,-0.434291211752924,19.6541,19.53908,19.41472,19.57074,19.40397,756,301,2,534,329899696157911040,"QSO",0.9917167,293,51689,40
"8850",1237648720700703232,195.582284474121,-0.578684155492442,21.35835,20.73903,20.63966,20.61516,20.5974,756,301,2,533,4561213026695356416,"QSO",2.683272,4051,55337,700
